name,code,price,category,unit,stock,description,barcode,moysklad_id
Лист стальной 3мм размер 1.25x2.5 г/к Северсталь,00252,4600.0,Лист Горя,шт,0,,2000000002682,cf0dace1-a5a1-11ea-0a80-00ac0020d04a
Лист стальной 3мм размер 1.5x6.0 рифленый Северсталь,00373,1700.0,Лист Горя,м2,0,,2000000004372,5ae823b0-4525-11eb-0a80-011800227c78
Лист стальной 4мм размер 1.5х6 Северсталь,00224,2000.0,Лист Горя,м2,0,,2000000002408,cf13a56f-a5a1-11ea-0a80-00ac0020d058
Лист стальной 5мм размер 1.5х6 Северсталь,00183,2450.0,Лист Горя,м2,0,,2000000001999,cf183d3c-a5a1-11ea-0a80-00ac0020d061
Лист стальной 6мм размер 1.5х6 Северсталь,00211,3450.0,Лист Горя,м2,0,,2000000002279,cf1a6c93-a5a1-11ea-0a80-00ac0020d066
Лист стальной 8мм размер 1.5х6 Северсталь,00212,4200.0,Лист Горя,м2,0,,2000000002286,cf1c15b4-a5a1-11ea-0a80-00ac0020d06a
"Лист белый 0,4ммx1250х2000",00408,1390.0,Лист оцинк,шт,0,,2000000004884,3c7ebda1-dab7-11ed-0a80-0d1a000d9ff2
"Лист корич. 0,4мм x1250х2000",00409,1390.0,Лист оцинк,шт,0,,2000000004891,7794a3d5-dab7-11ed-0a80-05c8000d9203
"Лист оцинкованный 0,35ммx1250х2000",00274,850.0,Лист оцинк,шт,0,,2000000002934,c0b27aa8-a642-11ea-0a80-096600146920
"Лист оцинкованный 0,45ммx1250х2000",00367,1200.0,Лист оцинк,м,0,,2000000004273,03324d3c-1b6b-11eb-0a80-09c40014a83d
"Лист оцинкованный 0,5ммx1250х2000",00451,1350.0,Лист оцинк,м,0,,2000000005508,eee9c890-d574-11ee-0a80-02ac0065b566
"Лист оцинкованный 0,5ммx1250х2500",00269,1500.0,Лист оцинк,шт,0,,2000000002880,c0b45e20-a642-11ea-0a80-096600146924
"Лист оцинкованный 0,7x1250х2500",00275,1050.0,Лист оцинк,шт,0,,2000000002941,c0b64016-a642-11ea-0a80-09660014692c
Лист оцинкованный 1ммx1250х2500,00311,2100.0,Лист оцинк,шт,0,,2000000003436,4782c0c4-b5f3-11ea-0a80-0219001455a4
Лист просечно-вытяжной ПВЛ 406 1000х2600,00378,5500.0,Лист пвл,шт,0,,2000000004464,5529321c-f792-11eb-0a80-0d52001ae0f6
Лист просечно-вытяжной ПВЛ 406 1500х4000,00336,1200.0,Лист пвл,м2,0,,2000000003849,78e6877d-e554-11ea-0a80-04050027edfb
Лист просечно-вытяжной ПВЛ 510,00352,1200.0,Лист пвл,м2,0,,2000000004082,4b80d816-fc9e-11ea-0a80-09400003d7a5
"Лист стальной 2,5мм Т размер 1.25x2.5 рифленый Северсталь",00369,5450.0,Лист риф,шт,0,,2000000004310,416f2009-3bc0-11eb-0a80-0010002148da
Лист стальной 3мм размер 1.25x2.5 рифленый Северсталь,00204,5000.0,Лист риф,шт,0,,2000000002200,cf11bd7e-a5a1-11ea-0a80-00ac0020d053
Лист стальной 4мм размер 1.5х6 рифленый Северсталь,00248,2350.0,Лист риф,м2,0,,2000000002644,cf15a829-a5a1-11ea-0a80-00ac0020d05b
Лист стальной 5мм размер 1.5х6 рифленый Северсталь,00417,3350.0,Лист риф,м2,0,,2000000005089,1839525b-1eec-11ee-0a80-0bb300298f34
Отвод ф108,00322,400.0,Отводы,шт,0,,2000000003580,f3dc5335-c1b7-11ea-0a80-02cc00044bfa
Отвод ф108 оцинк.,00355,620.0,Отводы,шт,0,,2000000004150,c691d6c9-0d31-11eb-0a80-005c0006ceab
Отвод ф15,00313,25.0,Отводы,шт,0,,2000000003481,2b51f4ed-bf5d-11ea-0a80-03bb00216deb
Отвод ф15 оцинк.,00323,45.0,Отводы,шт,0,,2000000003627,fda55ca7-c1b8-11ea-0a80-02cc00047169
Отвод ф159,00404,950.0,Отводы,шт,0,,2000000004815,ed8a2687-cc71-11ed-0a80-0cb4002b5e4c
Отвод ф159 оцинк.,00405,1100.0,Отводы,шт,0,,2000000004839,df420883-cc72-11ed-0a80-0db1002c9dfc
Отвод ф20,00314,30.0,Отводы,шт,0,,2000000003498,d3d25ff0-bf5e-11ea-0a80-03bb0021af33
Отвод ф20 оцинк.,00324,60.0,Отводы,шт,0,,2000000003634,25a430c5-c1b9-11ea-0a80-04ae000469a6
Отвод ф25,00315,40.0,Отводы,шт,0,,2000000003504,2558defe-bf5f-11ea-0a80-01bb0021a239
Отвод ф25 оцинк.,00325,55.0,Отводы,шт,0,,2000000003641,4e6fb08b-c1b9-11ea-0a80-02cc00047bd5
Отвод ф32,00316,75.0,Отводы,шт,0,,2000000003511,e6458c82-bf5f-11ea-0a80-029d0021d64c
Отвод ф32 оцинк.,00326,75.0,Отводы,шт,0,,2000000003658,6c9fca81-c1b9-11ea-0a80-05990004aa81
Отвод ф40,00317,75.0,Отводы,шт,0,,2000000003528,65765be0-bf61-11ea-0a80-05d600213b28
Отвод ф40 оцинк.,00327,80.0,Отводы,шт,0,,2000000003672,9919b323-c1b9-11ea-0a80-04ae0004829c
Отвод ф57,00318,100.0,Отводы,шт,0,,2000000003535,a2bdac6a-bf61-11ea-0a80-00ed00210c28
Отвод ф57 оцинк.,00328,125.0,Отводы,шт,0,,2000000003689,ea787bbf-c1b9-11ea-0a80-059800048f44
Отвод ф76,00319,190.0,Отводы,шт,0,,2000000003542,b102ecee-bf62-11ea-0a80-01ba00218c8c
Отвод ф76 оцинк.,00354,240.0,Отводы,шт,0,,2000000004129,b7dc255f-0d30-11eb-0a80-03c50007707e
Отвод ф89,00320,250.0,Отводы,шт,0,,2000000003559,e2bd521b-bf62-11ea-0a80-05d600218367
Отвод ф89 оцинк.,00356,300.0,Отводы,шт,0,,2000000004167,28c6bb06-0d32-11eb-0a80-015600077a94
Петли ф12,00268,45.0,Петли,шт,0,,2000000002873,c0b88b59-a642-11ea-0a80-096600146937
Петли ф14,00276,70.0,Петли,шт,0,,2000000002958,c0ba59ef-a642-11ea-0a80-096600146940
Петли ф16,00279,60.0,Петли,шт,0,,2000000002989,c0bc78a8-a642-11ea-0a80-096600146945
Петли ф18,00280,70.0,Петли,шт,0,,2000000002996,c0be2d8f-a642-11ea-0a80-09660014694e
Петли ф20,00270,100.0,Петли,шт,0,,2000000002897,c0bfec18-a642-11ea-0a80-096600146952
Петли ф22,00277,100.0,Петли,шт,0,,2000000002965,c0c18fc9-a642-11ea-0a80-096600146956
Петли ф25,00272,130.0,Петли,шт,0,,2000000002910,c0c3916b-a642-11ea-0a80-09660014695a
Петли ф28,00271,150.0,Петли,шт,0,,2000000002903,c0c59c74-a642-11ea-0a80-09660014695e
Петли ф30,00267,160.0,Петли,шт,0,,2000000002866,c0caa1f6-a642-11ea-0a80-096600146962
Петли ф32,00282,200.0,Петли,шт,0,,2000000003016,c0cc7899-a642-11ea-0a80-096600146966
Петли ф36,00278,250.0,Петли,шт,0,,2000000002972,c0d00070-a642-11ea-0a80-09660014696e
Петли ф40,00281,350.0,Петли,шт,0,,2000000003009,c0d1ca7e-a642-11ea-0a80-096600146972
Петли ф50,00273,600.0,Петли,шт,0,,2000000002927,c0ce2cb3-a642-11ea-0a80-09660014696a
Полоса стальная 100х10мм Северсталь,00213,750.0,Полоса,м,0,,2000000002293,cf446539-a5a1-11ea-0a80-00ac0020d0ac
Полоса стальная 100х4мм Северсталь,00205,320.0,Полоса,м,0,,2000000002217,cf3f4b2e-a5a1-11ea-0a80-00ac0020d09f
Полоса стальная 100х6мм Северсталь,00232,480.0,Полоса,м,0,,2000000002484,cf411038-a5a1-11ea-0a80-00ac0020d0a3
Полоса стальная 100х8мм Северсталь,00242,800.0,Полоса,м,0,,2000000002583,cf42ba59-a5a1-11ea-0a80-00ac0020d0a8
Полоса стальная 20х4мм Северсталь,00220,50.0,Полоса,м,0,,2000000002361,cf234db4-a5a1-11ea-0a80-00ac0020d077
Полоса стальная 25х3мм Северсталь,00094,40.0,Полоса,м,0,,2000000000961,e87d92c1-a517-11ea-0a80-00ac0000e1ae
Полоса стальная 25х4мм Северсталь,00234,65.0,Полоса,м,0,,2000000002507,cf2ed06d-a5a1-11ea-0a80-00ac0020d07f
Полоса стальная 30х4мм Северсталь,00191,65.0,Полоса,м,0,,2000000002071,cf312925-a5a1-11ea-0a80-00ac0020d084
Полоса стальная 40х4мм Северсталь,00177,85.0,Полоса,м,0,,2000000001937,cf3377d8-a5a1-11ea-0a80-00ac0020d089
Полоса стальная 40х6мм Северсталь,00216,90.0,Полоса,м,0,,2000000002323,cf35bc55-a5a1-11ea-0a80-00ac0020d08d
Полоса стальная 50х4мм Северсталь,00219,105.0,Полоса,м,0,,2000000002354,cf3855ab-a5a1-11ea-0a80-00ac0020d092
Полоса стальная 50х6мм Северсталь,00350,250.0,Полоса,м,0,,2000000004068,9baba70f-f775-11ea-0a80-0002003b71eb
Полоса стальная 60х5мм Северсталь,00185,210.0,Полоса,м,0,,2000000002019,cf3adae9-a5a1-11ea-0a80-00ac0020d097
Полоса стальная 70х6мм Северсталь,00349,250.0,Полоса,м,0,,2000000004051,4ed3ca86-f6a9-11ea-0a80-013a002c2d51
Полоса стальная 80х6мм Северсталь,00227,350.0,Полоса,м,0,,2000000002439,cf3d51ed-a5a1-11ea-0a80-00ac0020d09b
Проволока вязальная 1.2 мм,00304,100.0,Проволока,кг,0,,2000000003252,903aa59c-aae6-11ea-0a80-09bf0005a897
Профнастил С20 1100x2000х035 оцинкованный,00174,850.0,Профнастил,шт,0,,2000000001876,7a620373-a587-11ea-0a80-00ac000b7eba
Профнастил С20 1100х2000 цвет вишнёвый RAL 3005 В,00175,770.0,Профнастил,шт,0,,2000000001883,7a5a284c-a587-11ea-0a80-00ac000b7eae
Профнастил С20 1100х2000 цвет зеленный RAL 6005 В,00172,850.0,Профнастил,шт,0,,2000000001852,7a5e33df-a587-11ea-0a80-00ac000b7eb4
Профнастил С20 1100х2000 цвет коричневый RAL 8017 В,00168,1050.0,Профнастил,шт,0,,2000000001814,7a5bfa35-a587-11ea-0a80-00ac000b7eb1
"Профнастил С20 1100х2000х0,5 цвет коричневый RAL 8017 В",00454,1500.0,Профнастил,шт,0,,2000000005546,849c5cec-0d04-11ef-0a80-11930006193b
"Профнастил С20 1100х2000х0,5 цвет коричневый RAL 8017 В",00435,1390.0,Профнастил,шт,0,,2000000005300,fed6301b-2c74-11ee-0a80-142d000f4786
"Профнастил С21 1000x2000 оцинкованный 0,35мм",00169,850.0,Профнастил,шт,0,,2000000001821,7a640db5-a587-11ea-0a80-00ac000b7ebd
"Профнастил С21 1000x2500 оцинкованный 0,5мм",00406,1500.0,Профнастил,шт,0,,2000000004860,22f74acd-dab6-11ed-0a80-014a000d71c1
"Профнастил С21 1000x3000 оцинкованный 0,5мм",00407,1750.0,Профнастил,шт,0,,2000000004877,7443b098-dab6-11ed-0a80-0c56000d5927
"Профнастил С8 1150x2000 оцинкованный 0,35",00173,850.0,Профнастил,шт,0,,2000000001869,7a602bdc-a587-11ea-0a80-00ac000b7eb7
Профнастил С8 1150х2000 цвет белый RAL 9003,00419,1100.0,Профнастил,шт,0,,2000000005126,a4d87250-2a2a-11ee-0a80-02b70037c5a1
Профнастил С8 1150х2000 цвет вишнёвый RAL 3005,00167,1180.0,Профнастил,шт,0,,2000000001807,7a547572-a587-11ea-0a80-00ac000b7ea5
Профнастил С8 1150х2000 цвет зеленный RAL 6005,00171,850.0,Профнастил,шт,0,,2000000001845,7a587169-a587-11ea-0a80-00ac000b7eab
Профнастил С8 1150х2000 цвет коричневый RAL 8017,00170,850.0,Профнастил,шт,0,,2000000001838,7a569f42-a587-11ea-0a80-00ac000b7ea8
Профнастил С8 1150х2000 цвет серый RAL 7024,00410,850.0,Профнастил,шт,0,,2000000004907,e352125d-dabf-11ed-0a80-11b7000ef180
